Date,SBLK_Price_USD
2010-01-01,78.01563262939453
2010-02-01,83.2578125
2010-03-01,91.35314178466797
2010-04-01,89.46956634521484
2010-05-01,87.07600402832031
2010-06-01,77.47206115722656
2010-07-01,84.1948471069336
2010-08-01,90.87843322753906
2010-09-01,92.83283233642578
2010-10-01,95.11292266845703
2010-11-01,95.10164642333984
2010-12-01,88.47435760498047
2011-01-01,85.82342529296875
2011-02-01,85.82342529296875
2011-03-01,81.093017578125
2011-04-01,79.403564453125
2011-05-01,73.29029846191406
2011-06-01,71.561767578125
2011-07-01,53.930606842041016
2011-08-01,50.8071403503418
2011-09-01,46.15577697753906
2011-10-01,49.73374938964844
2011-11-01,43.550209045410156
2011-12-01,33.12793731689453
2012-01-01,42.43354797363281
2012-02-01,36.644630432128906
2012-03-01,34.00016403198242
2012-04-01,37.7779655456543
2012-05-01,29.84459114074707
2012-06-01,27.77076530456543
2012-07-01,20.056663513183594
2012-08-01,20.056663513183594
2012-09-01,23.84359359741211
2012-10-01,20.267044067382812
2012-11-01,18.094633102416992
2012-12-01,16.37259292602539
2013-01-01,17.962167739868164
2013-02-01,15.233404159545898
2013-03-01,18.862926483154297
2013-04-01,16.875961303710938
2013-05-01,15.604304313659668
2013-06-01,14.49160385131836
2013-07-01,16.822978973388672
2013-08-01,21.644676208496094
2013-09-01,26.83728790283203
2013-10-01,20.92936897277832
2013-11-01,25.221214294433594
2013-12-01,35.31499481201172
2014-01-01,31.39405632019043
2014-02-01,32.71869659423828
2014-03-01,37.805328369140625
2014-04-01,31.473535537719727
2014-05-01,28.26788902282715
2014-06-01,34.36125564575195
2014-07-01,28.373872756958008
2014-08-01,37.30197525024414
2014-09-01,29.195140838623047
2014-10-01,27.340648651123047
2014-11-01,22.015581130981445
2014-12-01,17.37932777404785
2015-01-01,10.623640060424805
2015-02-01,12.23970890045166
2015-03-01,9.616913795471191
2015-04-01,10.46468448638916
2015-05-01,8.053833961486816
2015-06-01,7.788904666900635
2015-07-01,8.000847816467285
2015-08-01,6.490755081176758
2015-09-01,5.431039333343506
2015-10-01,4.1858744621276855
2015-11-01,2.543315887451172
2015-12-01,1.6160651445388794
2016-01-01,1.1127005815505981
2016-02-01,1.6425585746765137
2016-03-01,1.9869656562805176
2016-04-01,2.808244466781616
2016-05-01,2.145922899246216
2016-06-01,1.56837797164917
2016-07-01,2.357865810394287
2016-08-01,2.2201030254364014
2016-09-01,2.4055533409118652
2016-10-01,2.4161500930786133
2016-11-01,2.739363670349121
2016-12-01,2.7075717449188232
2017-01-01,4.604461193084717
2017-02-01,4.964764595031738
2017-03-01,6.294706344604492
2017-04-01,5.012451648712158
2017-05-01,4.20706844329834
2017-06-01,5.208498954772949
2017-07-01,5.319769859313965
2017-08-01,6.045673370361328
2017-09-01,5.144916534423828
2017-10-01,5.722461700439453
2017-11-01,5.33566427230835
2017-12-01,5.966196537017822
2018-01-01,5.9079108238220215
2018-02-01,6.7132954597473145
2018-03-01,6.162242412567139
2018-04-01,6.411276340484619
2018-05-01,6.9888224601745605
2018-06-01,6.813967704772949
2018-07-01,7.094791889190674
2018-08-01,6.692101001739502
2018-09-01,7.656440258026123
2018-10-01,6.4377665519714355
2018-11-01,5.070737361907959
