Date,SEA_Price_USD
2022-01-17,11.77933120727539
2022-01-24,11.670116424560547
2022-01-31,12.04629898071289
2022-02-07,12.413986206054688
2022-02-14,12.790167808532715
2022-02-21,12.887246131896973
2022-02-28,13.219741821289062
2022-03-07,13.008596420288086
2022-03-14,13.891409873962402
2022-03-21,13.125696182250977
2022-03-28,13.129944801330566
2022-04-04,11.95407485961914
2022-04-11,12.063895225524902
2022-04-18,12.056007385253906
2022-04-25,12.04994010925293
2022-05-02,12.495896339416504
2022-05-09,12.450390815734863
2022-05-16,12.668817520141602
2022-05-23,13.402372360229492
2022-05-30,13.293766021728516
2022-06-06,11.913422584533691
2022-06-13,11.139823913574219
2022-06-20,10.982069969177246
2022-06-27,10.654428482055664
2022-07-04,10.966294288635254
2022-07-11,10.832810401916504
2022-07-18,11.582746505737305
2022-07-25,12.02566909790039
2022-08-01,12.104547500610352
2022-08-08,12.165828704833984
2022-08-15,11.613082885742188
2022-08-22,11.143463134765625
2022-08-29,10.271574020385742
2022-09-05,10.209684371948242
2022-09-12,9.71094036102295
2022-09-19,8.896690368652344
2022-09-26,8.555700302124023
2022-10-03,8.724981307983398
2022-10-10,8.694644927978516
2022-10-17,8.794756889343262
2022-10-24,8.672194480895996
2022-10-31,8.706779479980469
2022-11-07,9.858986854553223
2022-11-14,9.52042293548584
2022-11-21,9.953639030456543
2022-11-28,10.107145309448242
2022-12-05,9.844425201416016
2022-12-12,10.119279861450195
2022-12-19,10.153788566589355
2022-12-26,9.955456733703613
2023-01-02,10.006476402282715
2023-01-09,10.168161392211914
2023-01-16,10.291040420532227
2023-01-23,10.308287620544434
2023-01-30,10.766034126281738
2023-02-06,10.555485725402832
2023-02-13,10.438353538513184
2023-02-20,10.663274765014648
2023-02-27,11.042694091796875
2023-03-06,10.51955509185791
2023-03-13,10.557641983032227
2023-03-20,10.665431022644043
2023-03-27,10.799808502197266
2023-04-03,10.58494758605957
2023-04-10,11.256117820739746
2023-04-17,11.195756912231445
2023-04-24,10.81921100616455
2023-05-01,10.648184776306152
2023-05-08,10.548299789428711
2023-05-15,10.555485725402832
2023-05-22,10.283137321472168
2023-05-29,10.319067001342773
2023-06-05,10.398112297058105
2023-06-12,10.58926010131836
2023-06-19,10.125045776367188
2023-06-26,10.489375114440918
2023-07-03,10.825677871704102
2023-07-10,11.021137237548828
2023-07-17,11.030478477478027
2023-07-24,11.348098754882812
2023-07-31,11.1583890914917
2023-08-07,11.042694091796875
2023-08-14,10.828553199768066
2023-08-21,10.692737579345703
2023-08-28,10.888915061950684
2023-09-04,10.707109451293945
2023-09-11,10.881728172302246
2023-09-18,10.965805053710938
2023-09-25,10.78471851348877
2023-10-02,10.739446640014648
2023-10-09,10.625907897949219
2023-10-16,10.401705741882324
2023-10-23,10.508058547973633
2023-10-30,10.80196475982666
2023-11-06,10.564108848571777
2023-11-13,10.786873817443848
2023-11-20,11.030478477478027
2023-11-27,11.06640911102295
2023-12-04,10.82927131652832
2023-12-11,11.246776580810547
2023-12-18,12.245378494262695
2023-12-25,11.880304336547852
2024-01-01,12.430675506591797
2024-01-08,12.295053482055664
2024-01-15,12.269033432006836
2024-01-22,12.499275207519531
2024-01-29,12.077428817749023
2024-02-05,11.839302062988281
2024-02-12,12.052196502685547
2024-02-19,12.146815299987793
2024-02-26,12.021445274353027
2024-03-04,11.961519241333008
2024-03-11,11.976500511169434
2024-03-18,11.769124984741211
2024-03-25,11.901593208312988
2024-04-01,12.024598121643066
2024-04-08,11.974923133850098
2024-04-15,11.981231689453125
2024-04-22,12.44802188873291
2024-04-29,12.820194244384766
2024-05-06,13.530630111694336
2024-05-13,14.03211498260498
2024-05-20,14.035268783569336
2024-05-27,14.452385902404785
2024-06-03,14.627431869506836
2024-06-10,13.538515090942383
2024-06-17,14.085734367370605
2024-06-24,14.189027786254883
2024-07-01,14.129889488220215
2024-07-08,13.586614608764648
2024-07-15,13.309849739074707
2024-07-22,13.36583423614502
2024-07-29,13.041762351989746
2024-08-05,12.947141647338867
2024-08-12,13.50382137298584
2024-08-19,13.59292221069336
2024-08-26,13.702523231506348
2024-09-02,13.091437339782715
2024-09-09,13.39737319946289
2024-09-16,13.676502227783203
2024-09-23,14.230817794799805
2024-09-30,14.215046882629395
2024-10-07,13.982439994812012
2024-10-14,13.663887023925781
2024-10-21,13.216019630432129
2024-10-28,12.910871505737305
2024-11-04,12.761844635009766
2024-11-11,12.594682693481445
2024-11-18,12.695611000061035
2024-11-25,12.367596626281738
2024-12-02,12.225666046142578
2024-12-09,12.116852760314941
2024-12-16,11.646120071411133
2024-12-23,12.16109848022461
2024-12-30,12.244515419006348
2025-01-06,11.926780700683594
2025-01-13,11.650285720825195
2025-01-20,11.590299606323242
2025-01-27,11.617481231689453
2025-02-03,11.771193504333496
2025-02-10,12.072057723999023
2025-02-17,11.926780700683594
2025-02-24,11.653096199035645
2025-03-03,12.015820503234863
2025-03-10,11.867732048034668
2025-03-17,11.911783218383789
2025-03-24,11.734640121459961
2025-03-31,10.488067626953125
2025-04-07,11.162903785705566
2025-04-14,11.089797019958496
2025-04-21,11.437524795532227
2025-04-28,11.919281959533691
2025-05-05,11.954898834228516
2025-05-12,13.329875946044922
2025-05-19,13.3017578125
2025-05-26,13.016826629638672
2025-06-02,13.115241050720215
2025-06-09,13.590436935424805
2025-06-16,13.16116714477539
2025-06-23,13.178038597106934
2025-06-30,13.449847221374512
2025-07-07,13.449847221374512
2025-07-14,13.357994079589844
2025-07-21,13.913796424865723
2025-07-28,13.294259071350098
2025-08-04,13.723529815673828
2025-08-11,13.71696949005127
2025-08-18,14.045013427734375
2025-08-25,13.581064224243164
2025-09-01,13.698223114013672
2025-09-08,13.912858963012695
2025-09-15,13.820068359375
2025-09-22,13.421728134155273
2025-09-29,13.376739501953125
2025-10-06,12.551002502441406
2025-10-13,13.402982711791992
2025-10-20,13.5201416015625
2025-10-27,13.81538200378418
2025-11-03,13.901611328125
2025-11-10,14.054386138916016
2025-11-17,13.711344718933105
2025-11-24,14.077818870544434
2025-12-01,14.227782249450684
2025-12-08,14.152800559997559
2025-12-15,14.251214027404785
2025-12-22,14.364999771118164
2025-12-29,14.223999977111816
