Date,BDRY_Price_USD
2018-03-19,24.10099983215332
2018-03-26,22.780000686645508
2018-04-02,20.450000762939453
2018-04-09,21.582000732421875
2018-04-16,22.5
2018-04-23,21.75
2018-04-30,23.0
2018-05-07,23.75
2018-05-14,21.0
2018-05-21,19.5
2018-05-28,21.0
2018-06-04,21.969999313354492
2018-06-11,22.25
2018-06-18,21.399999618530273
2018-06-25,22.040000915527344
2018-07-02,22.670000076293945
2018-07-09,23.469999313354492
2018-07-16,24.100000381469727
2018-07-23,24.302000045776367
2018-07-30,25.26099967956543
2018-08-06,24.829999923706055
2018-08-13,25.235000610351562
2018-08-20,25.434999465942383
2018-08-27,25.434999465942383
2018-09-03,24.559999465942383
2018-09-10,22.700000762939453
2018-09-17,22.735000610351562
2018-09-24,22.940000534057617
2018-10-01,21.825000762939453
2018-10-08,23.149999618530273
2018-10-15,22.209999084472656
2018-10-22,21.375
2018-10-29,21.375
2018-11-05,16.06999969482422
2018-11-12,15.890000343322754
2018-11-19,16.75
2018-11-26,16.402000427246094
2018-12-03,18.540000915527344
2018-12-10,18.209999084472656
2018-12-17,18.614999771118164
2018-12-24,18.170000076293945
2018-12-31,17.920000076293945
2019-01-07,17.110000610351562
2019-01-14,17.270000457763672
2019-01-21,15.095000267028809
2019-01-28,12.859999656677246
2019-02-04,11.020000457763672
2019-02-11,11.1899995803833
2019-02-18,10.925000190734863
2019-02-25,10.710000038146973
2019-03-04,9.574000358581543
2019-03-11,10.96500015258789
2019-03-18,10.442999839782715
2019-03-25,9.359000205993652
2019-04-01,9.545000076293945
2019-04-08,9.664999961853027
2019-04-15,10.725000381469727
2019-04-22,11.406000137329102
2019-04-29,12.25100040435791
2019-05-06,12.25
2019-05-13,12.024999618530273
2019-05-20,12.204999923706055
2019-05-27,12.25
2019-06-03,12.295000076293945
2019-06-10,12.385000228881836
2019-06-17,12.6899995803833
2019-06-24,13.149999618530273
2019-07-01,14.899999618530273
2019-07-08,16.604999542236328
2019-07-15,17.565000534057617
2019-07-22,16.594999313354492
2019-07-29,15.574999809265137
2019-08-05,17.079999923706055
2019-08-12,18.184999465942383
2019-08-19,19.5310001373291
2019-08-26,21.135000228881836
2019-09-02,20.450000762939453
2019-09-09,21.114999771118164
2019-09-16,20.010000228881836
2019-09-23,18.924999237060547
2019-09-30,20.405000686645508
2019-10-07,21.19499969482422
2019-10-14,20.479999542236328
2019-10-21,19.815000534057617
2019-10-28,18.1200008392334
2019-11-04,16.2450008392334
2019-11-11,16.774999618530273
2019-11-18,17.094999313354492
2019-11-25,18.329999923706055
2019-12-02,18.204999923706055
2019-12-09,16.9950008392334
2019-12-16,15.225000381469727
2019-12-23,15.289999961853027
2019-12-30,13.050000190734863
2020-01-06,13.845000267028809
2020-01-13,12.104999542236328
2020-01-20,11.135000228881836
2020-01-27,9.819999694824219
2020-02-03,9.225000381469727
2020-02-10,9.225000381469727
2020-02-17,9.010000228881836
