cutoff_date,months_ahead,predicted,actual,error,abs_error,pct_error
2020-09-01,1,7.668912712559983,6.769999980926514,0.8989127316334695,0.8989127316334695,13.277883813382937
2020-09-01,2,7.097825658339328,8.254999995231628,-1.1571743368923002,1.1571743368923002,14.017859934109314
2020-09-01,3,6.526738604118673,9.740000009536743,-3.21326140541807,3.21326140541807,32.990363473017084
2020-10-01,1,6.161458362327528,8.254999995231628,-2.093541632904101,2.093541632904101,25.360891994105415
2020-10-01,2,5.5529167308918135,9.740000009536743,-4.18708327864493,4.18708327864493,42.98853464625486
2020-10-01,3,4.9443750994561,11.225000023841858,-6.280624924385758,6.280624924385758,55.95211502045198
2020-11-01,1,7.730199871454923,9.740000009536743,-2.00980013808182,2.00980013808182,20.634498317391795
2020-11-01,2,7.205399777626573,11.225000023841858,-4.019600246215285,4.019600246215285,35.809356237662975
2020-11-01,3,6.680599683798222,12.710000038146973,-6.02940035434875,6.02940035434875,47.43824025375687
2020-12-01,1,9.292500021376982,11.225000023841858,-1.9325000024648755,1.9325000024648755,17.216035620135884
2020-12-01,2,8.845000062013714,12.710000038146973,-3.8649999761332587,3.8649999761332587,30.409126392864653
2020-12-01,3,8.397500102650447,16.920000076293945,-8.522499973643498,8.522499973643498,50.3693849598978
2021-01-01,1,10.849074129119867,12.710000038146973,-1.860925909027106,1.860925909027106,14.641431183649436
2021-01-01,2,10.473148262127832,16.920000076293945,-6.446851814166113,6.446851814166113,38.101960904826385
2021-01-01,3,10.097222395135798,24.700000762939453,-14.602778367803655,14.602778367803655,59.12055836740725
2021-02-01,1,12.400536859265555,16.920000076293945,-4.51946321702839,4.51946321702839,26.71077539391067
2021-02-01,2,12.091073707123723,24.700000762939453,-12.60892705581573,12.60892705581573,51.048286098575765
2021-02-01,3,11.781610554981889,23.0,-11.218389445018111,11.218389445018111,48.77560628268744
2021-03-01,1,16.76637938257535,24.700000762939453,-7.933621380364102,7.933621380364102,32.1199236247309
2021-03-01,2,16.612758753879778,23.0,-6.387241246120222,6.387241246120222,27.770614113566182
2021-03-01,3,16.4591381251842,29.350000381469727,-12.890862256285526,12.890862256285526,43.92116554936823
2021-04-01,1,29.50459001769584,23.0,6.50459001769584,6.50459001769584,28.280826163894957
2021-04-01,2,35.62216420817311,29.350000381469727,6.272163826703384,6.272163826703384,21.370234225493732
2021-04-01,3,41.739738398650374,25.799999237060547,15.939739161589827,15.939739161589827,61.781936561816266
2021-05-01,1,27.774823120702344,29.350000381469727,-1.5751772607673828,1.5751772607673828,5.366873050406769
2021-05-01,2,30.82054267262249,25.799999237060547,5.020543435561944,5.020543435561944,19.459471255914448
2021-05-01,3,33.86626222454264,26.01249933242798,7.853762892114659,7.853762892114659,30.19226561718319
2021-06-01,1,32.63306148338466,25.799999237060547,6.833062246324111,6.833062246324111,26.484738172041194
2021-06-01,2,36.41584910605546,26.01249933242798,10.403349773627482,10.403349773627482,39.993657051855635
2021-06-01,3,40.19863672872627,26.224999427795414,13.973637300930857,13.973637300930857,53.283651499799255
2021-07-01,1,28.57960432465355,26.01249933242798,2.5671049922255698,2.5671049922255698,9.868736407905788
2021-07-01,2,29.186985017519017,26.224999427795414,2.9619855897236036,2.9619855897236036,11.29451155138729
2021-07-01,3,29.794365710384486,26.43749952316285,3.3568661872216374,3.3568661872216374,12.697366421815214
2021-08-01,1,26.14889379453864,26.224999427795414,-0.07610563325677333,0.07610563325677333,0.2902026116961906
2021-08-01,2,26.285288257783364,26.43749952316285,-0.15221126537948493,0.15221126537948493,0.5757400212759423
2021-08-01,3,26.421682721028084,26.64999961853028,-0.22831689750219653,0.22831689750219653,0.856723830282696
2021-09-01,1,26.363571317734102,26.43749952316285,-0.07392820542874645,0.07392820542874645,0.2796338790057482
2021-09-01,2,26.50214320877441,26.64999961853028,-0.147856409755871,0.147856409755871,0.5548082997084303
2021-09-01,3,26.640715099814713,29.489999771118164,-2.849284671303451,2.849284671303451,9.661867390361852
2021-10-01,1,26.578124481452175,26.64999961853028,-0.07187513707810567,0.07187513707810567,0.2697003306076201
2021-10-01,2,26.718749440812523,29.489999771118164,-2.771250330305641,2.771250330305641,9.397254499200574
2021-10-01,3,26.859374400172875,21.940000534057617,4.919373866115258,4.919373866115258,22.42194050305003
2021-11-01,1,26.792566762388056,29.489999771118164,-2.6974330087301084,2.6974330087301084,9.146941436642237
2021-11-01,2,26.935133907287913,21.940000534057617,4.995133373230296,4.995133373230296,22.767243626436176
2021-11-01,3,27.07770105218777,21.43000030517578,5.647700747011989,5.647700747011989,26.354179498765358
